Year,YearCode,Harvest ,Location,Treatment,Crop,Crop1,Plot,Intercropped,Monocrop,IWG,ALF,NRate,Rep,Date,QLengthCM,QWidthCM,QAreaHa,RowSpacing,RowsSampled,QIWGForWetG ,SIWGForWetG,SIWGDryG ,IWGQual,IWGDM,PlotIWGDryG,PlotIWGDryKG ,PlotIWGDryKgHa,QSpikeDryG,QThreshedGrainDryG,PlotThreshedGrainKgHa,QAlfForWetG,SAlfWetG,SAlfDryG ,AlfQual,AlfDM,PlotAlfDryG,PlotAlfDryKG ,PlotAlfDryKgHa,PlotTotForageKgHa,QWeedsWetG,QWeedsDryG,IWGHeight1,IWGHeight2,IWGHeight3,IWGHeight4,IWGHeight5,IWGHeight6 ,IWGHeight7,IWGHeight8,IWGHeight9,IWGHeight10,IWGHeightAvg,IWGLodgingScore0to9,ALFHeight1,ALFHeight2,ALFHeight3,ALFHeight4,ALFHeight5,ALFHeight6 ,ALFHeight7,ALFHeight8,ALFHeight9,ALFHeight10,ALFHeightAvg,ALFLodgingScore0to9,Weednotes ,LodgingPercent,WinterSurvivalScore ,TillerLength,HeadLength,IWGCounts,AlfalfaLength,CombineAreamM2,CombineAreaHa,IWGNIRDM,IWGCP,IWGADF,IWGaNDF,IWGAsh,IWGFAT,IWGLignin,IWGdNDF30,IWGIVTDMD30,IWGdNDF48,IWGIVTDMD48,IWGCa,IWGP,IWGK,IWGMg,IWGESC,IWGWSC,IWGStarch,ALFNIRDM,ALFCP,ALFADF,ALFaNDF,ALFAsh,ALFFAT,ALFLignin,ALFdNDF30,ALFIVTDMD30,ALFdNDF48,ALFIVTDMD48,ALFCa,ALFP,ALFK,ALFMg,ALFESC,ALFWSC,ALFStarch,image_sample_wt_g,hull_N,nkd_N,spklt_N,hull_F,nkd_F,spklt_F,hull_A,hull_A_SD,nkd_A,nkd_A_SD,spklt_A,spklt_A_SD,hull_C,hull_C_SD,nkd_C,nkd_C_SD,spklt_C,spklt_C_SD,hull_L,hull_L_SD,nkd_L,nkd_L_SD,spklt_L,spklt_L_SD,hull_W,hull_W_SD,nkd_W,nkd_W_SD,spklt_W,spklt_W_SD,2023MNGrainDeHulledg,2023MNThreshedhullyweight,2023MNGrainDeHulledKgHa
2022,X,Summer,NY,9,IWG,IWG,104,,y,y,,160,1,16-08-22,152.4,152.4,0.0002322576,15,4,3818.167347,1153.8,603.8,,52.3,1998.101442,1.998101442,8602.953971,409.240,388.96,1674.692238,,,,,,,,,8602.953971,,,152,159,161,149,155,158,,,,,155.6666667,,,,,,,,,,,,,,,,,,,,,,,93.8,3.2,45,69.3,3.2,1.7,6.7,18.6,44.9,26.9,61.6,0.4,0.1,0.9,0.1,10,11.5,2.8,,,,,,,,,,,,,,,,,,,3.217,275,89,7,43,5,5,200.056445,29.36811232,110.0649351,16.54720958,373.7554113,120.9887252,0.4260568096,0.04411492796,0.5410527495,0.05831195043,0.4760788369,0.3197080755,11.1792157,1.159450683,7.236261176,0.8297166029,17.69468831,8.170103373,2.484063061,0.2010139164,2.11196367,0.1814530896,3.934565238,1.347909782,,,
2022,X,Summer,NY,7,IWG,IWG,105,,y,y,,80,1,16-08-22,152.4,152.4,0.0002322576,15,4,4040.389569,1000.8,527.8,,52.7,2130.812964,2.130812964,9174.351945,368.070,295.13,1270.701153,,,,,,,,,9174.351945,497.800,174.800,158,147,169,142,158,156,,,,,155,,,,,,,,,,,,,,,,,,,,,,,93.9,1.8,47.7,74.3,3.4,1.5,6.5,19.6,41.5,30,59.2,0.3,0.1,1,0.1,7.9,9.3,2.8,,,,,,,,,,,,,,,,,,,3.162,248,102,13,36,5,4,190.5706322,27.59460713,104.7418218,13.94329017,310.0529101,41.06577611,0.4325632969,0.041850442,0.550423005,0.04890205078,0.5777806113,0.1067335602,10.8023036,1.003737633,6.976010646,0.6899195654,12.08474343,1.325827937,2.446195467,0.2136026863,2.082368274,0.1469968338,3.833495878,0.5677525002,,,
2022,X,Summer,NY,11,Shockwave + IWG,Shockwave + IWG,106,y,,y,y,40,1,16-08-22,152.4,152.4,0.0002322576,15,4,1600.480272,1163.8,628.8,,54.0,864.7379233,0.8647379233,3723.184616,106.770,120.43,518.5190926,2865.786395,1469.8,439.8,,29.92243843,858,0.8575131694,3692.077974,7415.26259,64.800,31.800,143,142,140,148,147,167,,,,,147.8333333,,,,,,,,,,,,,,,,,,,,,,,93.9,2.8,43.8,66.7,3.8,1.9,6.5,17.7,47.3,25.5,62.8,0.3,0.1,0.9,0.1,11.3,12.9,3,93.8,14.7,47.8,58.4,8,1.4,10.2,15.1,58.5,19.4,62.4,1.1,0.3,2.2,0.2,2.8,5.3,0.4,3.134,233,97,13,42,7,6,186.8078693,27.20860957,104.8172198,14.63320351,318.9703154,46.34578211,0.450073218,0.03921504248,0.5569428923,0.05768071335,0.4974762579,0.08242896194,10.46951319,1.010890921,6.927289202,0.6056204228,13.26514317,2.152854799,2.47754339,0.1981822762,2.102391771,0.1997692046,3.473153036,0.3256950679,,,
2022,X,Summer,NY,20,WL + IWG,WL + IWG,107,y,,y,y,0,1,16-08-22,152.4,152.4,0.0002322576,15,4,1160.570975,932.8,487.8,,52.3,606.9109366,0.6069109366,2613.093981,75.370,74.83,322.1853666,3437.214966,1113.8,353.8,,31.76512839,1092,1.091835747,4700.968868,7314.062849,212.800,32.800,145,128,120,145,142,140,,,,,136.6666667,,,,,,,,,,,,,,,,,,,,,,,94,3.7,44.4,67.2,5.1,1.9,7,16.6,45.9,24.5,61.2,0.4,0.1,1,0.1,10,11.8,2.6,93.6,13.1,48.9,60.2,6.9,1.3,10.7,14,56.2,18.6,60.7,1,0.2,1.9,0.2,2.9,5.1,1.2,3.149,166,204,1,32,10,1,178.2895587,27.91972818,104.0902397,13.68558038,nan,nan,0.4449691815,0.04595175424,0.5512479433,0.04767366312,nan,nan,10.29972179,1.097864583,6.943319417,0.6267123396,nan,nan,2.402578307,0.2034007163,2.079575783,0.1648592544,nan,nan,,,
2022,X,Summer,NY,1,Higest + IWG,Higest + IWG,108,y,,y,y,0,1,16-08-22,152.4,152.4,0.0002322576,15,4,1219.527891,904.8,464.8,,51.4,626.4771925,0.6264771925,2697.337751,93.070,97.13,418.1994475,3577.804535,1006.8,299.8,,29.77751291,1065,1.065381207,4587.067151,7284.404902,94.800,32.800,142,155,137,158,151,147,,,,,148.3333333,,,,,,,,,,,,,,,,,,,,,,,93.8,4,43.6,65.1,5.3,2,7,16.3,47.3,23.4,62.4,0.4,0.1,1.1,0.1,10.5,12.4,2.8,93.8,14.8,43.9,54.5,8.1,1.4,9.6,14,61.4,18,65.6,1.3,0.2,2.1,0.2,4,6.3,0.9,3.165,228,203,3,52,23,3,173.5205136,27.99857791,104.6158009,16.2526653,nan,nan,0.4508648048,0.05214172693,0.5478021305,0.05022485049,nan,nan,10.09939311,1.163723492,6.987558434,0.7590099538,nan,nan,2.386143225,0.2114691829,2.072431431,0.1628225717,nan,nan,,,
2022,X,Summer,NY,16,Shockwave,Shockwave,109,,y,,y,40,1,16-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,3577.804535,627.8,341.8,,54.44409047,1948,1.947903138,8386.821952,8386.821952,85.800,64.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,11.7,51.6,63.1,7.2,1.1,11.3,13.8,54.5,18.7,59.6,0.9,0.2,2.1,0.1,2.9,4.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,21,WL + IWG,WL + IWG,110,y,,y,y,80,1,16-08-22,152.4,152.4,0.0002322576,15,4,1858.983673,896.800,460.8,,51.4,955.1958929,0.9551958929,4112.657209,152.870,153.33,660.1721537,2620.888435,1001.8,308.8,,30.82451587,808,0.8078761717,3478.362696,7591.019905,2.800,21.800,143,152,149,146,147,151,,,,,148,,,,,,,,,,,,,,,,,,,,,,,93.8,3.5,44.3,66.9,3.7,1.8,6.8,18.5,48,25.5,62.7,0.4,0.1,0.9,0.1,10.7,12.5,2.8,93.7,14.4,44.1,54.6,8.2,1.5,9.3,15.1,61.8,19.1,65.4,1.2,0.3,2.2,0.2,3.8,6.2,1,3.123,165,186,5,27,4,2,185.4750925,31.02841816,106.8752676,14.95309019,325.2164502,95.67791252,0.4526405114,0.04733723257,0.5540729291,0.04833280348,0.4545029141,0.08511029861,10.40272866,1.263785297,7.012571877,0.6270352188,15.09865873,5.078799624,2.467175267,0.1989550591,2.114240558,0.1802109248,3.478657518,0.3401794018,,,
2022,X,Summer,NY,12,Shockwave + IWG,Shockwave + IWG,111,y,,y,y,80,1,16-08-22,152.4,152.4,0.0002322576,15,4,1677.577778,926.8,484.8,,52.3,877.5245001,0.8775245001,3778.238043,120.470,124.73,537.0330185,3060.797732,1154.8,365.8,,31.67648078,970,0.9695530053,4174.472677,7952.71072,,,142,155,137,158,151,141,,,,,147.3333333,,,,,,,,,,,,,,,,,,,,,,,93.7,3.1,44.4,67.1,4.2,1.9,6.6,18.1,47.9,25.6,62.4,0.4,0.1,0.9,0.1,10.9,12.6,2.9,93.3,12.5,48.8,60.1,6.2,1.4,10.6,13.4,57.1,17.1,61.8,1,0.2,1.6,0.2,4.1,5.8,1.9,3.106,142,188,4,20,5,1,194.222376,33.78205287,110.0885908,13.32173365,378.6075036,92.04437823,0.4363615006,0.04121718117,0.5508710598,0.0461328793,0.453341343,0.1994455046,10.85139278,1.252697052,7.145803721,0.5863839229,17.73233896,5.378492397,2.475983535,0.2268799451,2.139840922,0.1641720159,3.938867677,0.5520192329,,,
2022,X,Summer,NY,3,Higest,Higest,112,,y,,y,0,1,16-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,4539.255782,1018.8,92.8,,9.108755399,413,0.4134697061,1780.220351,1780.220351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,14.3,45.7,55.5,8.2,1.4,9.9,14,60.2,17.7,65.5,1.1,0.3,2.1,0.2,3.6,5.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,10,Shockwave + IWG,Shockwave + IWG,113,y,,y,y,0,1,16-08-22,152.4,152.4,0.0002322576,15,4,979.1650794,847.8,436.8,,51.5,504.4813714,0.5044813714,2172.076915,86.270,97.93,421.6438988,3260.344218,961.8,314.8,,32.73029736,1067,1.067120357,4594.555172,6766.632088,210.800,17.800,115,148,137,138,118,123,,,,,129.8333333,,,,,,,,,,,,,,,,,,,,,,,93.4,2.9,45.3,70.4,2.8,1.7,6.7,17.4,41.3,27.1,60.7,0.3,0.1,0.9,0.1,9.2,10.5,3.2,93.4,14.6,43.5,53.3,8,1.6,9.5,13.1,61.2,16.6,65.7,1.2,0.2,2,0.2,4.3,6.2,2.1,3.162,165,200,3,31,7,2,180.1140402,26.49831436,101.7820694,15.49571361,228.2467532,nan,0.4474102996,0.04687018184,0.5700307102,0.05842491912,0.5822639089,nan,10.3250982,1.130136044,6.732404088,0.7338160188,10.32693636,nan,2.419757985,0.184789105,2.09530654,0.1785270251,3.316603896,nan,,,
2022,X,Summer,NY,2,Higest + IWG,Higest + IWG,114,y,,y,y,80,1,16-08-22,152.4,152.4,0.0002322576,15,4,1718.394104,980.8,514.8,,52.5,901.9466608,0.9019466608,3883.389223,164.270,179.93,774.7001605,2498.439456,1333.8,395.8,,29.67461389,741,0.7414022617,3192.155011,7075.544234,,,157,149,156,172,160,153,,,,,157.8333333,,,,,,,,,,,,,,,,,,,,,,,93.7,3.1,45.7,69.5,4.2,1.7,6.6,18.1,43.8,27.2,61,0.3,0.1,0.9,0.1,9.2,10.9,3.1,93.1,14.6,44.2,54.2,8.3,1.5,9.6,13.6,61,17.1,66.1,1.2,0.2,1.9,0.2,4.1,6.2,1.6,3.131,170,168,5,21,4,5,197.425114,30.61335961,108.7853711,14.63447111,nan,nan,0.4288514269,0.03266825327,0.5571157074,0.05481798042,nan,nan,11.03217614,1.069381368,7.061124538,0.6953450285,nan,nan,2.475582502,0.1955735647,2.13839367,0.1671204742,nan,nan,,,
2022,X,Summer,NY,6,IWG,IWG,115,,y,y,,40,1,16-08-22,152.4,152.4,0.0002322576,15,4,3124.289796,1124.8,589.8,,52.4,1638.252242,1.638252242,7053.600148,325.670,257.53,1108.81194,,,,,,,,,7053.600148,198.800,118.800,142,146,141,147,156,160,,,,,148.6666667,,,,,,,,,,,,,,,,,,,,,,,93.6,1.3,47,74.8,3.2,1.6,6.2,18.4,39.6,30.7,59.7,0.2,0.1,1,0.1,7.3,8.6,3.5,,,,,,,,,,,,,,,,,,,3.143,165,237,4,32,16,1,184.4408098,29.88758862,99.80362774,16.69397113,296.5728716,35.73007872,0.4411267736,0.04361684705,0.5541483316,0.05543914672,0.5513903157,0.1286573054,10.51155773,1.09359523,6.786573595,0.8165582118,12.17403925,0.9686040068,2.430786084,0.2183780078,2.038132084,0.1669031062,3.67188443,0.8199401731,,,
2022,X,Summer,NY,13,Shockwave + IWG,Shockwave + IWG,116,y,,y,y,120,1,17-08-22,152.4,152.4,0.0002322576,15,4,2199.718,715.9,353.9,,49.4,1087.414723,1.087414723,4681.933866,170.270,194.93,839.283623,2398.879592,696.9,183.9,,26.388291,633,0.6330233275,2725.522556,7407.456421,31.900,16.900,142,146,141,147,156,147,,,,,146.5,,,,,,,,,,,,,,,,,,,,,,,93.6,3,44.4,68.4,3.6,1.9,6.7,18.2,45.8,26.1,61.4,0.3,0.1,0.8,0.1,10.8,12.3,2.9,93.2,15,44.4,53.7,8.4,1.5,9.7,13.7,61.5,17.2,66.4,1.2,0.2,1.9,0.2,3.5,5.8,1.5,3.106,256,69,4,30,11,1,197.699977,26.59858439,106.2714584,12.70871249,337.987013,43.1443707,0.4283675429,0.03575880984,0.5521231295,0.05717005039,0.4912169085,0.04796497222,11.06173627,1.00506233,7.013508427,0.5850770701,13.72897965,0.8190626494,2.477789239,0.1750920307,2.105549896,0.1807280507,3.612744776,0.4970356317,,,
2022,X,Summer,NY,14,Shockwave + IWG,Shockwave + IWG,117,y,,y,y,160,1,17-08-22,152.4,152.4,0.0002322576,15,4,1945.710,777.9,390.9,,50.3,977.7324065,0.9777324065,4209.689614,135.170,162.03,697.6305619,2888.67551,826.9,223.9,,27.07703471,782,0.7821676705,3367.673094,7577.362708,5.900,,142,146,141,147,156,153,,,,,147.5,,,,,,,,,,,,,,,,,,,,,,,93.4,3.3,43.7,67.6,2.5,1.9,6.6,17.9,46.1,25.7,62.3,0.4,0.1,0.7,0.1,11.1,12.5,3.5,93.4,12.2,50.8,62.5,6.7,1.4,10.8,14.8,55.2,19,59.7,0.9,0.2,1.9,0.1,3,4.8,1.5,3.167,166,155,7,31,8,4,199.5943563,31.85471311,112.0726213,15.91230871,333.044733,23.46622172,0.4382475907,0.04223708018,0.5518324142,0.05287721037,0.55073535,0.1035880295,10.97208435,1.162584596,7.211059889,0.7708576172,13.20490895,1.059943121,2.515548188,0.1911394,2.1572428,0.1632040885,3.954255628,0.5766567789,,,
2022,X,Summer,NY,4,Higest,Higest,118,,y,,y,80,1,17-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,5845.59161,504.9,142.9,,28.30263418,1654,1.654456409,7123.368231,7123.368231,50.900,16.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,14,44.6,54.5,7.7,1.5,10,12.9,59.3,16.9,63.8,1.2,0.2,1.8,0.2,3.8,6.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,18,Shockwave,Shockwave,119,,y,,y,120,1,17-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,5256.022449,483.9,139.9,,28.91093201,1520,1.519565077,6542.584943,6542.584943,88.900,42.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,14.1,44.1,54.5,7.6,1.6,9.5,13.4,60.5,17.7,65.7,1.2,0.2,1.8,0.2,3.8,6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,17,Shockwave,Shockwave,120,,y,,y,80,1,17-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,4602.961224,1084.9,304.9,,28.10397272,1294,1.293614967,5569.742246,5569.742246,110.900,43.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2,14.8,44.3,54,8.5,1.5,9.9,12.4,60.1,16.6,65.4,1.2,0.2,1.9,0.2,3.6,5.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,19,Shockwave,Shockwave,121,,y,,y,160,1,17-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,5419.287755,834.9,234.9,,28.135106,1525,1.524722354,6564.789933,6564.789933,0.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2,14.5,46.6,57.3,8.1,1.4,10.3,13.6,58,18.2,63.4,1.1,0.3,1.9,0.2,3.2,5.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,8,IWG,IWG,122,,y,y,,120,1,17-08-22,152.4,152.4,0.0002322576,15,4,5092.757143,604.9,311.9,,51.6,2625.939747,2.625939747,11306.15208,506.840,394.36,1697.942285,,,,,,,,,11306.15208,42.900,16.900,161,165,163,168,163,180,,,,,166.6666667,,,,,,,,,,,,,,,,,,,,,,,93.7,3,44.3,67.1,3.8,1.8,6.8,17.8,46.9,25.6,62.6,0.4,0.1,0.9,0.1,10.9,12.6,2.8,,,,,,,,,,,,,,,,,,,3.16,178,203,5,37,8,2,192.7596635,29.20700821,104.7230547,15.22813271,277.1645022,0.9918995011,0.4259297596,0.03331133908,0.5384948099,0.05089698554,0.552987221,0.1535068268,10.94325328,1.068418906,7.065515789,0.7006955279,13.04595065,2.080873303,2.436239632,0.1892671531,2.055651573,0.1712329586,3.90760316,0.9152897934,,,
