"","Year","YearCode","Harvest","Location","Treatment","first_value","second_value","Crop1","Plot","Intercropped","Monocrop","IWG","ALF","NRate","Rep","Date","QLengthCM","QWidthCM","QAreaHa","RowSpacing","RowsSampled","QIWGForWetG","SIWGForWetG","SIWGDryG","IWGQual","IWGDM","PlotIWGDryG","PlotIWGDryKG","PlotIWGDryKgHa","QSpikeDryG","QThreshedGrainDryG","PlotThreshedGrainKgHa","QAlfForWetG","SAlfWetG","SAlfDryG","AlfQual","AlfDM","PlotAlfDryG","PlotAlfDryKG","PlotAlfDryKgHa","PlotTotForageKgHa","QWeedsWetG","QWeedsDryG","IWGHeight1","IWGHeight2","IWGHeight3","IWGHeight4","IWGHeight5","IWGHeight6","IWGHeight7","IWGHeight8","IWGHeight9","IWGHeight10","IWGHeightAvg","IWGLodgingScore0to9","ALFHeight1","ALFHeight2","ALFHeight3","ALFHeight4","ALFHeight5","ALFHeight6","ALFHeight7","ALFHeight8","ALFHeight9","ALFHeight10","ALFHeightAvg","ALFLodgingScore0to9","Weednotes","LodgingPercent","WinterSurvivalScore","TillerLength","HeadLength","IWGCounts","AlfalfaLength","CombineAreamM2","CombineAreaHa","IWGNIRDM","IWGCP","IWGADF","IWGaNDF","IWGAsh","IWGFAT","IWGLignin","IWGdNDF30","IWGIVTDMD30","IWGdNDF48","IWGIVTDMD48","IWGCa","IWGP","IWGK","IWGMg","IWGESC","IWGWSC","IWGStarch","ALFNIRDM","ALFCP","ALFADF","ALFaNDF","ALFAsh","ALFFAT","ALFLignin","ALFdNDF30","ALFIVTDMD30","ALFdNDF48","ALFIVTDMD48","ALFCa","ALFP","ALFK","ALFMg","ALFESC","ALFWSC","ALFStarch","image_sample_wt_g","hull_N","nkd_N","spklt_N","hull_F","nkd_F","spklt_F","hull_A","hull_A_SD","nkd_A","nkd_A_SD","spklt_A","spklt_A_SD","hull_C","hull_C_SD","nkd_C","nkd_C_SD","spklt_C","spklt_C_SD","hull_L","hull_L_SD","nkd_L","nkd_L_SD","spklt_L","spklt_L_SD","hull_W","hull_W_SD","nkd_W","nkd_W_SD","spklt_W","spklt_W_SD","X2023MNGrainDeHulledg","X2023MNThreshedhullyweight","X2023MNGrainDeHulledKgHa","C","CROP","V","N","P","hullNHd","NdkNHd","SpkltNHd","WhSamDH","G","GXAdj"
"14",2024,"Z","Fall","NY",13,"Shockwave","IWG","Shockwave + IWG",206,"y","","y","y",120,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,251,251,103.8,NA,"41.35458167",103.8,0.1038,1787.670242,NA,NA,NA,59,59,28.3,NA,"47.96610169",28.3,0.0283,487.3898637,2275.060106,-3,-0.55,39,46,44,30,38,NA,NA,NA,NA,NA,39.4,NA,65,49,60,61,62,NA,NA,NA,NA,NA,59.4,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",120,"NY",NA,NA,NA,NA,NA,NA
"15",2024,"Z","Fall","NY",10,"Shockwave","IWG","Shockwave + IWG",208,"y","","y","y",0,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,219,219,85.5,NA,"39.04109589",85.5,0.0855,1472.502945,NA,NA,NA,371,371,118.2,NA,"31.85983827",118.2,0.1182,2035.670738,3508.173683,14,1.55,45,38,40,26,35,NA,NA,NA,NA,NA,36.8,NA,70,90,70,62,80,NA,NA,NA,NA,NA,74.4,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",0,"NY",NA,NA,NA,NA,NA,NA
"16",2024,"Z","Fall","NY",16,"Shockwave",NA,"Shockwave",212,"","y","","y",40,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,234,234,71.5,NA,"30.55555556",71.5,0.0715,1231.391352,1231.391352,255,70.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,67,59,71,67,NA,NA,NA,NA,NA,67.8,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",40,"NY",NA,NA,NA,NA,NA,NA
"17",2024,"Z","Fall","NY",14,"Shockwave","IWG","Shockwave + IWG",216,"y","","y","y",160,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,195,195,91.2,NA,"46.76923077",91.2,0.0912,1570.669808,NA,NA,NA,74,74,29.1,NA,"39.32432432",29.1,0.0291,501.167669,2071.837477,-1,-0.25,40,44,41,45,46,NA,NA,NA,NA,NA,43.2,NA,85,70,72,82,60,NA,NA,NA,NA,NA,73.8,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",160,"NY",NA,NA,NA,NA,NA,NA
"18",2024,"Z","Fall","NY",15,"Shockwave",NA,"Shockwave",217,"","y","","y",0,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,218,218,71.2,NA,"32.66055046",71.2,0.0712,1226.224675,1226.224675,175,50.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,68,61,70,57,NA,NA,NA,NA,NA,63.8,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",0,"NY",NA,NA,NA,NA,NA,NA
"19",2024,"Z","Fall","NY",11,"Shockwave","IWG","Shockwave + IWG",218,"y","","y","y",40,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,158,158,72.4,NA,"45.82278481",72.4,0.0724,1246.891383,NA,NA,NA,230,230,77.1,NA,"33.52173913",77.1,0.0771,1327.835989,2574.727372,5,0.35,39,39,37,38,35,NA,NA,NA,NA,NA,37.6,NA,60,54,60,70,64,NA,NA,NA,NA,NA,61.6,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",40,"NY",NA,NA,NA,NA,NA,NA
"20",2024,"Z","Fall","NY",12,"Shockwave","IWG","Shockwave + IWG",219,"y","","y","y",80,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,104,104,63.5,NA,"61.05769231",63.5,0.0635,1093.613298,NA,NA,NA,115,115,41.3,NA,"35.91304348",41.3,0.0413,711.2792003,1804.892499,2,0.05,35,36,42,42,36,NA,NA,NA,NA,NA,38.2,NA,74,94,64,83,80,NA,NA,NA,NA,NA,79,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",80,"NY",NA,NA,NA,NA,NA,NA
"21",2024,"Z","Fall","NY",17,"Shockwave",NA,"Shockwave",301,"","y","","y",80,"3","22-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,166,166,58.6,NA,"35.30120482",58.6,0.0586,1009.224241,1009.224241,391,123.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,46,73,58,68,NA,NA,NA,NA,NA,63.8,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",80,"NY",NA,NA,NA,NA,NA,NA
"22",2024,"Z","Fall","NY",15,"Shockwave",NA,"Shockwave",305,"","y","","y",0,"3","22-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,27,27,17.9,NA,"66.2962963",17.9,0.0179,308.2783943,308.2783943,148,51.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,70,65,64,70,NA,NA,NA,NA,NA,65.2,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",0,"NY",NA,NA,NA,NA,NA,NA
"23",2024,"Z","Fall","NY",14,"Shockwave","IWG","Shockwave + IWG",310,"y","","y","y",160,"3","22-10-24",76.2,76.2,5.80644e-05,15,4,168,168,78.7,NA,"46.8452381",78.7,0.0787,1355.3916,NA,NA,NA,89,89,37.6,NA,"42.24719101",37.6,0.0376,647.5568507,2002.94845,92,21.45,33,42,55,38,33,NA,NA,NA,NA,NA,40.2,NA,70,64,80,68,81,NA,NA,NA,NA,NA,72.6,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",160,"NY",NA,NA,NA,NA,NA,NA
